date,sku_id,store_id,inventory_level,units_on_order,backorders
2023-01-01,SKU-1001,STORE-001,1631,0,0
2023-01-02,SKU-1001,STORE-001,1586,0,0
2023-01-03,SKU-1001,STORE-001,1549,0,0
2023-01-04,SKU-1001,STORE-001,1503,0,0
2023-01-05,SKU-1001,STORE-001,1462,0,0
2023-01-06,SKU-1001,STORE-001,1420,0,0
2023-01-07,SKU-1001,STORE-001,1364,0,0
2023-01-08,SKU-1001,STORE-001,1331,0,0
2023-01-09,SKU-1001,STORE-001,1295,0,0
2023-01-10,SKU-1001,STORE-001,1262,0,0
2023-01-11,SKU-1001,STORE-001,1228,0,0
2023-01-12,SKU-1001,STORE-001,1181,0,0
2023-01-13,SKU-1001,STORE-001,1143,0,0
2023-01-14,SKU-1001,STORE-001,1102,0,0
2023-01-15,SKU-1001,STORE-001,1049,1153,0
2023-01-16,SKU-1001,STORE-001,1010,1153,0
2023-01-17,SKU-1001,STORE-001,979,1153,0
2023-01-18,SKU-1001,STORE-001,938,1153,0
2023-01-19,SKU-1001,STORE-001,897,1153,0
2023-01-20,SKU-1001,STORE-001,863,1153,0
2023-01-21,SKU-1001,STORE-001,819,1153,0
2023-01-22,SKU-1001,STORE-001,774,1153,0
2023-01-23,SKU-1001,STORE-001,728,1153,0
2023-01-24,SKU-1001,STORE-001,682,1153,0
2023-01-25,SKU-1001,STORE-001,626,1153,0
2023-01-26,SKU-1001,STORE-001,586,1153,0
2023-01-27,SKU-1001,STORE-001,547,1153,0
2023-01-28,SKU-1001,STORE-001,494,1153,0
2023-01-29,SKU-1001,STORE-001,433,1153,0
2023-01-30,SKU-1001,STORE-001,389,1153,0
2023-01-31,SKU-1001,STORE-001,350,1153,0
2023-02-01,SKU-1001,STORE-001,1462,0,0
2023-02-02,SKU-1001,STORE-001,1417,0,0
2023-02-03,SKU-1001,STORE-001,1375,0,0
2023-02-04,SKU-1001,STORE-001,1337,0,0
2023-02-05,SKU-1001,STORE-001,1267,0,0
2023-02-06,SKU-1001,STORE-001,1226,0,0
2023-02-07,SKU-1001,STORE-001,1185,0,0
2023-02-08,SKU-1001,STORE-001,1145,0,0
2023-02-09,SKU-1001,STORE-001,1105,0,0
2023-02-10,SKU-1001,STORE-001,1064,1153,0
2023-02-11,SKU-1001,STORE-001,1018,1153,0
2023-02-12,SKU-1001,STORE-001,958,1153,0
2023-02-13,SKU-1001,STORE-001,927,1153,0
2023-02-14,SKU-1001,STORE-001,884,1153,0
2023-02-15,SKU-1001,STORE-001,853,1153,0
2023-02-16,SKU-1001,STORE-001,816,1153,0
2023-02-17,SKU-1001,STORE-001,780,1153,0
2023-02-18,SKU-1001,STORE-001,716,1153,0
2023-02-19,SKU-1001,STORE-001,630,1153,0
2023-02-20,SKU-1001,STORE-001,585,1153,0
2023-02-21,SKU-1001,STORE-001,555,1153,0
2023-02-22,SKU-1001,STORE-001,503,1153,0
2023-02-23,SKU-1001,STORE-001,456,1153,0
2023-02-24,SKU-1001,STORE-001,414,1153,0
2023-02-25,SKU-1001,STORE-001,368,1153,0
2023-02-26,SKU-1001,STORE-001,318,1153,0
2023-02-27,SKU-1001,STORE-001,273,1153,0
2023-02-28,SKU-1001,STORE-001,1386,0,0
2023-03-01,SKU-1001,STORE-001,1352,0,0
2023-03-02,SKU-1001,STORE-001,1307,0,0
2023-03-03,SKU-1001,STORE-001,1256,0,0
2023-03-04,SKU-1001,STORE-001,1206,0,0
2023-03-05,SKU-1001,STORE-001,1153,0,0
2023-03-06,SKU-1001,STORE-001,1107,0,0
2023-03-07,SKU-1001,STORE-001,1047,1153,0
2023-03-08,SKU-1001,STORE-001,1006,1153,0
2023-03-09,SKU-1001,STORE-001,964,1153,0
2023-03-10,SKU-1001,STORE-001,925,1153,0
2023-03-11,SKU-1001,STORE-001,876,1153,0
2023-03-12,SKU-1001,STORE-001,821,1153,0
2023-03-13,SKU-1001,STORE-001,793,1153,0
2023-03-14,SKU-1001,STORE-001,746,1153,0
